feature,mean_abs_shap
mw,9.3099985
rotatable_bonds,3.126335
num_ester,2.9690208
logp,2.328475
hba,1.9575274
ecfp4_086,1.575464
ecfp4_095,1.461301
aliphatic_c_count,1.1490746
ecfp4_099,1.146374
ecfp4_106,0.9369614
fraction_csp3,0.9350512
ecfp4_019,0.8639574
ecfp4_039,0.7873708
ecfp4_085,0.6372506
ecfp4_070,0.6126993
hydrophobic_atom_count,0.6061123
ecfp4_012,0.54840624
ecfp4_069,0.49954545
hbd,0.49949387
ecfp4_097,0.48573652
ecfp4_001,0.43305504
ecfp4_010,0.40685308
ecfp4_058,0.37159544
ecfp4_091,0.36856505
ecfp4_060,0.34285894
ecfp4_007,0.3119833
ecfp4_013,0.30012113
heavy_atoms,0.27907375
tpsa,0.26884782
ecfp4_017,0.26608726
num_ether,0.25078914
num_amide_bonds,0.21922348
ecfp4_077,0.2151607
ecfp4_081,0.19946258
ecfp4_003,0.18417725
ecfp4_073,0.18110357
ecfp4_027,0.16606292
amine_count,0.15628383
ecfp4_100,0.15459858
aromatic_rings,0.14667477
num_heteroatoms,0.14275216
ecfp4_122,0.1391606
ecfp4_044,0.12713023
ecfp4_032,0.11971391
ecfp4_074,0.11696768
ecfp4_029,0.1092313
ecfp4_028,0.090903014
ecfp4_015,0.08374823
ecfp4_031,0.07828037
num_hydroxyl,0.07822339
ecfp4_117,0.07742535
ecfp4_075,0.0653788
ecfp4_026,0.06503003
num_carboxyl,0.06468607
ecfp4_123,0.064363986
ecfp4_046,0.05919554
ecfp4_121,0.055920977
ecfp4_076,0.04792386
ecfp4_014,0.043830667
ecfp4_005,0.043262843
ecfp4_050,0.043020718
ecfp4_004,0.04176614
ecfp4_030,0.041076895
ecfp4_011,0.04084448
ecfp4_098,0.03902745
ecfp4_064,0.03689332
ecfp4_072,0.036168166
ecfp4_054,0.03593924
ecfp4_067,0.03328938
ecfp4_063,0.031602945
ecfp4_059,0.03073565
ecfp4_071,0.030128945
ecfp4_062,0.028556464
ecfp4_108,0.024296382
ecfp4_115,0.02417633
ecfp4_093,0.022787254
ecfp4_000,0.020694809
ecfp4_045,0.015502562
ecfp4_055,0.012432931
ecfp4_094,0.011794657
num_rings,0.009934499
ecfp4_042,0.009446026
ecfp4_048,0.008639333
ecfp4_068,0.008161934
ecfp4_049,0.008084499
ecfp4_034,0.0055285166
ecfp4_083,0.004958706
ecfp4_113,0.0040692696
ecfp4_114,0.003912605
ecfp4_079,0.0031221511
ecfp4_038,0.0026656727
ecfp4_053,0.0014992894
ecfp4_035,0.00037390302
has_ortho_oh_amide,0.0
aromatic_substitution_count,0.0
ecfp4_102,0.0
ecfp4_127,0.0
ecfp4_126,0.0
ecfp4_125,0.0
ecfp4_096,0.0
carboxyl_count,0.0
ecfp4_109,0.0
ecfp4_101,0.0
ecfp4_107,0.0
ecfp4_104,0.0
ecfp4_103,0.0
ecfp4_124,0.0
ecfp4_105,0.0
ecfp4_120,0.0
ecfp4_111,0.0
ecfp4_119,0.0
ecfp4_118,0.0
ecfp4_116,0.0
ecfp4_112,0.0
ecfp4_110,0.0
ecfp4_065,0.0
ecfp4_092,0.0
ecfp4_022,0.0
ecfp4_040,0.0
ecfp4_037,0.0
ecfp4_036,0.0
ecfp4_033,0.0
ecfp4_025,0.0
ecfp4_024,0.0
ecfp4_023,0.0
ecfp4_021,0.0
ecfp4_090,0.0
ecfp4_020,0.0
ecfp4_018,0.0
ecfp4_016,0.0
ecfp4_009,0.0
ecfp4_008,0.0
ecfp4_006,0.0
ecfp4_002,0.0
ecfp4_041,0.0
ecfp4_043,0.0
ecfp4_047,0.0
ecfp4_051,0.0
ecfp4_089,0.0
ecfp4_088,0.0
ecfp4_087,0.0
num_saturated_rings,0.0
ecfp4_084,0.0
ecfp4_082,0.0
ecfp4_080,0.0
ecfp4_078,0.0
num_aliphatic_rings,0.0
ecfp4_066,0.0
num_aromatic_oh,0.0
ecfp4_061,0.0
max_ring_size,0.0
ecfp4_056,0.0
ecfp4_052,0.0
ecfp4_057,0.0
